path,type,git_state,likely_phase,keep_status,reason,recommended_destination
"""experiments/monograph_17/ASCESIS_Research_Ontology_Part_I_\342\200\224_Foundations_&_Research_Ontology_Version_2.0_Post-17F.md""",unknown,untracked,unknown,needs_human_review,insufficient organization signal; review before moving,"""experiments/monograph_17/ASCESIS_Research_Ontology_Part_I_\342\200\224_Foundations_&_Research_Ontology_Version_2.0_Post-17F.md"""
.claude,unknown,ignored,unknown,delete_candidate,local assistant/tooling state ignored by git,no destination; remove from working tree after approval or keep ignored locally
.claude/scheduled_tasks.lock,unknown,ignored,unknown,delete_candidate,local assistant/tooling state ignored by git,no destination; remove from working tree after approval or keep ignored locally
.claude/settings.local.json,result,ignored,unknown,delete_candidate,local assistant/tooling state ignored by git,no destination; remove from working tree after approval or keep ignored locally
.git,unknown,unknown,unknown,needs_human_review,insufficient organization signal; review before moving,.git
.gitignore,config,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",.gitignore
CITATION.cff,config,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",CITATION.cff
CONTRIBUTORS.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",CONTRIBUTORS.md
LICENSE,config,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",LICENSE
README.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",README.md
ascesis_of_learning_grace,memo,tracked+ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace
ascesis_of_learning_grace/archive,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/archive
ascesis_of_learning_grace/archive/INDEX.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/archive/INDEX.md
ascesis_of_learning_grace/dialogs,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs
ascesis_of_learning_grace/dialogs/dialog.part_1.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_1.md
ascesis_of_learning_grace/dialogs/dialog.part_10.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_10.md
ascesis_of_learning_grace/dialogs/dialog.part_11.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_11.md
ascesis_of_learning_grace/dialogs/dialog.part_12.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_12.md
ascesis_of_learning_grace/dialogs/dialog.part_13.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_13.md
ascesis_of_learning_grace/dialogs/dialog.part_14.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_14.md
ascesis_of_learning_grace/dialogs/dialog.part_15.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_15.md
ascesis_of_learning_grace/dialogs/dialog.part_16.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_16.md
ascesis_of_learning_grace/dialogs/dialog.part_17.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_17.md
ascesis_of_learning_grace/dialogs/dialog.part_18.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_18.md
ascesis_of_learning_grace/dialogs/dialog.part_19.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_19.md
ascesis_of_learning_grace/dialogs/dialog.part_2.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_2.md
ascesis_of_learning_grace/dialogs/dialog.part_20.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_20.md
ascesis_of_learning_grace/dialogs/dialog.part_21.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_21.md
ascesis_of_learning_grace/dialogs/dialog.part_22.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_22.md
ascesis_of_learning_grace/dialogs/dialog.part_3.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_3.md
ascesis_of_learning_grace/dialogs/dialog.part_4.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_4.md
ascesis_of_learning_grace/dialogs/dialog.part_5.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_5.md
ascesis_of_learning_grace/dialogs/dialog.part_6.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_6.md
ascesis_of_learning_grace/dialogs/dialog.part_7.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_7.md
ascesis_of_learning_grace/dialogs/dialog.part_8.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_8.md
ascesis_of_learning_grace/dialogs/dialog.part_9.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/dialog.part_9.md
ascesis_of_learning_grace/dialogs/field_check.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/field_check.md
ascesis_of_learning_grace/dialogs/subject_index.md,memo,ignored,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/dialogs/subject_index.md
ascesis_of_learning_grace/field_check.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/field_check.md
ascesis_of_learning_grace/glossary.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/glossary.md
ascesis_of_learning_grace/proposals.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/proposals.md
ascesis_of_learning_grace/questions.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/questions.md
ascesis_of_learning_grace/references.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/references.md
ascesis_of_learning_grace/rejected_branches.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/rejected_branches.md
ascesis_of_learning_grace/status.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/status.md
ascesis_of_learning_grace/structure.md,memo,tracked,monograph_or_research_docs,keep_active,"research map, status, field grounding, or repo metadata",research/ascesis_of_learning_grace/structure.md
blind_arbiter,experiment,tracked+ignored,blind_arbiter,keep_reference,extracted focused package identified by top-level README as active/current direction,packages/blind_arbiter
blind_arbiter/README.md,memo,tracked,blind_arbiter,keep_reference,extracted focused package identified by top-level README as active/current direction,packages/blind_arbiter/README.md
blind_arbiter/SPEC.md,experiment,tracked,blind_arbiter,keep_reference,extracted focused package identified by top-level README as active/current direction,packages/blind_arbiter/SPEC.md
blind_arbiter/__pycache__,archive,ignored,blind_arbiter,delete_candidate,generated interpreter/test cache; not research evidence,no destination; remove from working tree after approval or keep ignored locally
blind_arbiter/camouflage_audit,experiment,tracked+ignored,blind_arbiter,keep_reference,extracted focused package identified by top-level README as active/current direction,packages/blind_arbiter/camouflage_audit
blind_arbiter/camouflage_audit/SPEC.md,experiment,tracked,blind_arbiter,keep_reference,extracted focused package identified by top-level README as active/current direction,packages/blind_arbiter/camouflage_audit/SPEC.md
blind_arbiter/camouflage_audit/__pycache__,archive,ignored,blind_arbiter,delete_candidate,generated interpreter/test cache; not research evidence,no destination; remove from working tree after approval or keep ignored locally
blind_arbiter/camouflage_audit/results,result,tracked,blind_arbiter,keep_reference,"generated evidence/result artifact; preserve important reports and manifests, raw bulk may be archived if reproducible",packages/blind_arbiter/camouflage_audit/results
blind_arbiter/camouflage_audit/results/audit_surface_best_gamma.svg,result,tracked,blind_arbiter,keep_reference,"generated evidence/result artifact; preserve important reports and manifests, raw bulk may be archived if reproducible",packages/blind_arbiter/camouflage_audit/results/audit_surface_best_gamma.svg
blind_arbiter/camouflage_audit/results/gamma_audit_off.svg,result,tracked,blind_arbiter,keep_reference,"generated evidence/result artifact; preserve important reports and manifests, raw bulk may be archived if reproducible",packages/blind_arbiter/camouflage_audit/results/gamma_audit_off.svg
blind_arbiter/camouflage_audit/results/raw,result,tracked,blind_arbiter,archive_candidate,"generated evidence/result artifact; preserve important reports and manifests, raw bulk may be archived if reproducible",packages/blind_arbiter/camouflage_audit/results/raw
blind_arbiter/camouflage_audit/results/report.md,result,tracked,blind_arbiter,keep_reference,"generated evidence/result artifact; preserve important reports and manifests, raw bulk may be archived if reproducible",packages/blind_arbiter/camouflage_audit/results/report.md
blind_arbiter/camouflage_audit/results/run_manifest.json,result,tracked,blind_arbiter,keep_reference,"generated evidence/result artifact; preserve important reports and manifests, raw bulk may be archived if reproducible",packages/blind_arbiter/camouflage_audit/results/run_manifest.json
blind_arbiter/camouflage_audit/results/validation_report.md,result,tracked,blind_arbiter,keep_reference,"generated evidence/result artifact; preserve important reports and manifests, raw bulk may be archived if reproducible",packages/blind_arbiter/camouflage_audit/results/validation_report.md
blind_arbiter/camouflage_audit/run.py,code,tracked,blind_arbiter,keep_reference,extracted focused package identified by top-level README as active/current direction,packages/blind_arbiter/camouflage_audit/run.py
blind_arbiter/references.md,memo,tracked,blind_arbiter,keep_reference,extracted focused package identified by top-level README as active/current direction,packages/blind_arbiter/references.md
blind_arbiter/results,result,tracked,blind_arbiter,keep_reference,"generated evidence/result artifact; preserve important reports and manifests, raw bulk may be archived if reproducible",packages/blind_arbiter/results
