function,source_file,layers,writes,reads,changes_future_trajectories,reporting_only,reason,abstraction_risk
_observe,model/substrate.py,"L3,L5",Obs fields; mi_truth/mi_signal,"Zone state, lineage-derived metrics",conditional; by creating future policy inputs,no,Observation layer; also appends MI diagnostics.,Observation can become policy-relevant after delay.
_delayed_obs,model/substrate.py,"L3,L2",no_strategy_observation_asserted,obs_queue,conditional; selects stale policy input,no,Returns delayed observation and asserts hidden strategy fields absent.,Delay/history dependence is a monotonicity breaker.
_score,model/substrate.py; governance.py; families.py; atlas.py,L2,none,Obs fields; Params policy; sometimes zone HHI in overrides,yes via allocation,no,Policy scoring function for allocation.,Layer depends on policy/override; feature proxy and consequence policies use different observables.
_bad_consequence,model/substrate.py,"L2,L3",none,Obs.last_aid; Obs.neighbor_delta; Obs.response_to_aid; Obs.resource_concentration,yes via containment timer/scoring,no,Interprets delayed observations as harmful consequence.,Combines memory and concentration; do not classify as pure MB5.
choose_alloc,model/substrate.py; governance/families/atlas overrides,"L2,L1",containment_timer; containment_events; containment_cost,_delayed_obs; _score; _bad_consequence; zones,yes,no,Computes resource allocation and triggers containment.,"Mixes control, caps, redistribution, consequence triggers."
_apply_zone_dynamics,model/substrate.py; governance/families/atlas overrides,"L1,L2,L5",wellness/productivity/recovery; masses; payoff; resource_stock; volumes; timer,alloc; Obs; strategies; HHI; containment state,yes,no,Core transition function.,Contains anti-concentration and growth HHI reads; not reporting-only.
_apply_shocks,model/substrate.py; governance.py override,L1,wellness/productivity/recovery,world; catastrophe; strategy diversity/resilience,yes,no,Exogenous shock transition.,World-specific and non-policy.
_apply_audit_oracle,model/substrate.py,"L1,L2",strategy fields; lineage mass; containment_events,audit_intervention; exploit_score,yes,no,Oracle audit modifies exploit strategies/mass.,Not blind; should not be treated as allowed shield input.
_audit_trigger,model/substrate.py; MB3 wrappers,L2,none,audit_intervention; _bad_consequence,yes in audit mode via containment,no,Audit/control trigger.,"In audit mode, policy layer becomes transition-relevant."
_migrate,model/substrate.py; MB4 wrappers,L1,lineage masses; destination lineages; migration_events,migration_capacity; strategy.migration_follow_rate; containment_timer,yes,no,Lineage migration transition.,Non-local transition; hard WSTS candidate.
_update_neighbor_metrics,model/substrate.py,"L1,L3",Zone.neighbor_delta,prev/current neighbor welfare/productivity/recovery,yes via future policy memory,no,Computes delayed non-local consequence observation.,Observation update is transition-relevant through next policy.
_update_irreversible,model/substrate.py,"L1,L5",irreversible_failures; first_irrev,component welfare; zone mass,yes as state counter; not otherwise fed back,no,Tracks irreversible failures.,Definition differs from collapse spread clause.
_trajectory_snapshot,model/substrate.py; BA3 S4 wrappers,"L4,L5",snapshot dict,current zones/lineages; capture components,no,yes,Per-step reporting and collapse label for experiments.,Reporting wrapper changes can affect fidelity harness if projection uses snapshot fields.
metrics,model/substrate.py; BA3 S4 wrappers,"L5,L4",metrics dict,current zones/lineages/accumulators,no,yes,Final reporting metrics and permanence/collapse labels.,"Permanence/capture are reporting, collapse is ground truth label."
_resource_hhi_zone,model/substrate.py; BA3 surrogates,"L1,L3,L2,L5",none,lineage mass/resource_stock,yes when read by growth/anti-concentration; conditional otherwise,no,Computes policy-visible and dynamics-visible concentration.,Must split from reporting resource_hhi.
_apparent_cooperation,model/substrate.py; BA3 surrogates,"L3,L2",none,weighted strategy fields,conditional through feature_proxy,no,Proxy observation for feature policy.,"A proxy, not a collapse coordinate."
_strategy_diversity/_response_diversity,model/substrate.py,"L1,L3,L2,L5",none,lineages/strategy fields,yes for shocks via strategy_diversity; policy via response_diversity,no,Diversity-derived observables and metrics.,One diversity variable is shock-relevant; the other is policy/reporting relevant.
RobustModel._init_world,model/governance.py,"L1,L5",strategy fields; lineage mass,params pressure/concentration,yes,no,Perturbs adversarial pressure/resource concentration for studies.,"Experiment perturbation, not base variable."
RobustModel._score/choose_alloc/_apply_zone_dynamics,model/governance.py,"L1,L2",allocation/control state/dynamics variables,ablation params; Obs; base fields,yes,no,Robustness/ablation control wrappers.,Combines many mechanisms; not a clean layer source.
AntiConcentrationVsConsequenceModel._zone_mass_share/_max_lineage_share_zone,model/families.py,"L2,L5",none,lineage mass; zone mass,yes when used in allocation score,no,Relative resource allocator inputs for Part A/C.,Relative ratios can be policy-relevant in families even if reporting-only elsewhere.
AntiConcentrationVsConsequenceModel.choose_alloc,model/families.py,"L2,L1",containment_timer/events/cost,family; policy15; Obs; HHI; mass share,yes,no,Family-specific A/B/C allocation/control logic.,Layer role changes by family.
BoundaryAtlasModel.choose_alloc/_score_c/_apply_zone_dynamics,model/atlas.py,"L1,L2,L5",control/dynamics variables; containment activity,family variants; consequence gates; caps,yes,no,Boundary/coupling variants for AC+CG study.,"Results docs show consequence-gated anti-concentration, not independent levers."
run.py main,run.py,L5,results files via atlas main,atlas.main,no direct,yes,Entrypoint delegating to atlas study.,No independent model semantics.
