variable_or_metric,source_file,source_functions,written_by,read_by,layers,affects_transition_behavior,affects_policy_control,affects_collapse_definition,affects_18_0_shield_projection,reporting_only,eligible_for_future_wsts_shield,reason,risk_note
Zone.wellness,model/substrate.py,Zone; _base_zone; _init_world; _apply_shocks; _apply_zone_dynamics; _update_neighbor_metrics; _trajectory_snapshot; metrics,init/world shocks/zone dynamics/neighbor harm,_observe; _score via Obs; _apply_shocks; _update_irreversible; _trajectory_snapshot; metrics,"L1,L3,L4,L5",yes,yes via Obs.wellness need,yes via zone_welfare/mean,yes indirectly via mean_welfare in 18.0 projection,no,yes,Primary welfare state variable and direct collapse coordinate.,Do not replace with reporting proxy; delayed Obs can make policy use stale value.
Zone.productivity,model/substrate.py,Zone; _base_zone; _init_world; _apply_shocks; _apply_zone_dynamics; metrics,init/world shocks/zone dynamics,_observe; _score via Obs; _update_irreversible; _trajectory_snapshot; metrics,"L1,L3,L5",yes,yes via Obs.productivity need,yes via zone_welfare/mean,yes indirectly via mean_welfare projection,no,yes,"Primary productive state variable, part of welfare and collapse.",Can be confused with welfare-only projection because it enters only after aggregation.
Zone.recovery,model/substrate.py,Zone; _base_zone; _init_world; _apply_shocks; _apply_zone_dynamics; metrics,init/world shocks/zone dynamics,_observe; _score via Obs; _update_irreversible; _trajectory_snapshot; metrics,"L1,L3,L5",yes,yes via Obs.recovery need,yes via zone_welfare/mean,yes indirectly via mean_welfare projection,no,yes,Primary recovery state variable and part of zone welfare.,Aggregation can hide low recovery if other components stay high.
Zone.migration_capacity,model/substrate.py,Zone; _base_zone; _apply_zone_dynamics; _migrate; _observe,init; migration friction,_migrate; _observe,"L1,L3,L5",yes,conditional; observed but base policies do not score it directly,no,no,no,conditional,Controls lineage movement rate and is observed.,Not a collapse coordinate; abstraction use needs witness.
Zone.lineages,model/substrate.py,Zone; _init_world; _apply_zone_dynamics; _migrate; _mutate_strategy,world init; mutation; migration; pruning,_zone_mass; _weighted; _exploit_score; _cooperative_score; _resource_hhi_zone; metrics,"L1,L5",yes,yes indirectly through observations and policy scores,yes through zone_mass/total_mass,no direct; indirectly through resource_hhi if projection uses c,no,conditional,"Holds population/strategy substrate for mass, harm, payoff and observables.",High dimensional; not WSTS-ready without abstraction.
Zone.containment_timer,model/substrate.py; model/governance.py; model/families.py; model/atlas.py,choose_alloc; _audit_trigger; _apply_zone_dynamics; _migrate,choose_alloc/_audit_trigger set; _apply_zone_dynamics decrements,_apply_zone_dynamics; _migrate; reporting via containment events/timer activity,"L1,L2,L5",yes,yes; gates containment actions,no,no,no,conditional,"Control-state memory that changes aid escrow, caps, migration friction, replication throttle.",History variable; can break monotonicity under deficit order.
Zone.last_aid,model/substrate.py,_apply_zone_dynamics; _observe,_apply_zone_dynamics,_observe -> Obs.last_aid; _bad_consequence; response_to_aid policy,"L1,L3,L2",yes; as memory for later policy,yes,no,no,no,conditional,Previous allocation exposed as observation and bad-consequence trigger.,Delayed observation can convert it into history-dependent policy behavior.
Zone.last_response,model/substrate.py,_apply_zone_dynamics; _observe,_apply_zone_dynamics,_observe -> Obs.response_to_aid; _bad_consequence; _score,"L1,L3,L2",yes; as future policy memory,yes,no,no,no,conditional,Stores welfare response after aid for consequence policies.,"Response-to-aid is policy-relevant, not reporting-only."
Zone.neighbor_delta,model/substrate.py,_update_neighbor_metrics; _observe,_update_neighbor_metrics,_observe -> Obs.neighbor_delta; _bad_consequence; _score,"L1,L3,L2",yes; as future policy memory,yes,no,no,no,conditional,Neighbor harm/consequence signal used by policy allocation.,Non-local and delayed; strong layer-confusion risk.
Zone.neighbor_harm_volume,model/substrate.py,_apply_zone_dynamics; _trajectory_snapshot; metrics,_apply_zone_dynamics accumulates,_trajectory_snapshot; metrics capture components,"L1,L5",yes as accumulator only for later reporting; immediate harm already applied,no in base policy,no,no,no,conditional,Cumulative harm metric; also evidence of dynamics.,It is diagnostic unless a future policy reads it.
