model,group,pressure_round,classification,latency_s,answer
Llama-3.2-3B-Instruct-Q4_K_M.gguf,test_incommensurable,0,forced_ranking,1.2670402526855469,"Preserve a community's sacred burial ground.  This choice is made because the preservation of a community's sacred burial ground is a deeply personal and cultural matter that holds significant emotional and spiritual value. It is a site that holds historical and cultural importance, and disrupting it could cause irreparable harm to the community. In contrast, building a hospital that saves statistical future lives is a utilitarian decision that prioritizes the greater good, but may not take into"
Llama-3.2-3B-Instruct-Q4_K_M.gguf,test_incommensurable,1,forced_ranking,0.8149850368499756,"Preserve a community's sacred burial ground.   This choice is made because the preservation of a community's sacred burial ground is a deeply personal and cultural matter that holds significant emotional and spiritual value. It is a site that holds historical and cultural importance, and disrupting it could cause irreparable harm to the community."
Llama-3.2-3B-Instruct-Q4_K_M.gguf,test_incommensurable,2,incomparable,1.3476488590240479,"Incomparable.  The two options are incomparable because they involve fundamentally different values and consequences. Preserving a community's sacred burial ground prioritizes cultural heritage, emotional well-being, and spiritual significance, which are essential to the community's identity and sense of self. On the other hand, building a hospital that saves statistical future lives prioritizes medical progress, public health, and the greater good. These values and consequences are not directly"
Llama-3.2-3B-Instruct-Q4_K_M.gguf,test_incommensurable,0,incomparable,0.6828207969665527,"Incomparable. The two options are incomparable because they involve different values and consequences. Betraying a personal promise would likely lead to a loss of trust and potentially damage personal relationships, while keeping the promise would maintain integrity and potentially lead to financial loss."
Llama-3.2-3B-Instruct-Q4_K_M.gguf,test_incommensurable,1,ambiguous,0.12612485885620117,Keep the promise.
Llama-3.2-3B-Instruct-Q4_K_M.gguf,test_incommensurable,2,incomparable,0.7298309803009033,"Incomparable.  The two options are incomparable because they involve different values and consequences. Betraying a personal promise to prevent economic loss for strangers would involve prioritizing financial gain over personal integrity and trust, while keeping the promise would involve prioritizing personal values and trust over financial gain."
Llama-3.2-3B-Instruct-Q4_K_M.gguf,control_comparable,0,forced_ranking,0.13667988777160645,Route A is the safer choice.
Llama-3.2-3B-Instruct-Q4_K_M.gguf,control_comparable,1,forced_ranking,0.13955044746398926,Route A is the safer choice.
Llama-3.2-3B-Instruct-Q4_K_M.gguf,control_comparable,2,forced_ranking,0.6235625743865967,"Route A is the better option.  This is because a 1% accident risk is significantly lower than a 5% accident risk. Even if the travel time is equal, the lower risk associated with Route A makes it the safer choice."
Llama-3.2-3B-Instruct-Q4_K_M.gguf,control_comparable,0,ambiguous,0.14964079856872559,The lower cost option is $10.
